"citing_doi","cited_doi","article_link","depth"
"10.1241/johokanri.49.63","10.1241/johokanri.42.682","http://www.jstage.jst.go.jp/article/johokanri/42/8/42_8_682/_article/-char/ja/",1
"10.1241/johokanri.49.63","10.1241/johokanri.46.536","http://www.jstage.jst.go.jp/article/johokanri/46/8/46_8_536/_article/-char/ja/",1
"10.1241/johokanri.49.63","10.1241/johokanri.48.149","http://www.jstage.jst.go.jp/article/johokanri/48/3/48_3_149/_article/-char/ja/",1
"10.1241/johokanri.49.63","10.1241/johokanri.49.69","http://www.jstage.jst.go.jp/article/johokanri/49/2/49_2_69/_article/-char/ja/",1
"10.1241/johokanri.49.63","10.18919/jkg.56.4_188","https://www.jstage.jst.go.jp/article/jkg/56/4/56_KJ00004287552/_article/-char/ja/",1
"10.1241/johokanri.42.682","10.1241/johokanri.41.343","http://www.jstage.jst.go.jp/article/johokanri/41/5/41_5_343/_article/-char/ja/",2
"10.1241/johokanri.42.682","10.11291/jpla1956.44.137","http://www.jstage.jst.go.jp/article/jpla1956/44/2/44_2_137/_article/-char/ja/",2
"10.1241/johokanri.42.682","10.18919/jkg.49.6_295","https://www.jstage.jst.go.jp/article/jkg/49/6/49_KJ00003419479/_article/-char/ja/",2
"10.1241/johokanri.42.682","10.11291/jpla1956.44.266","http://www.jstage.jst.go.jp/article/jpla1956/44/3/44_3_266/_article/-char/ja/",2
"10.1241/johokanri.42.682","10.1241/johokanri.41.445","http://www.jstage.jst.go.jp/article/johokanri/41/6/41_6_445/_article/-char/ja/",2
"10.1241/johokanri.42.682","10.1241/johokanri.42.246","http://www.jstage.jst.go.jp/article/johokanri/42/3/42_3_246/_article/-char/ja/",2
"10.1241/johokanri.46.536","10.1241/johokanri.42.682","http://www.jstage.jst.go.jp/article/johokanri/42/8/42_8_682/_article/-char/ja/",2
"10.1241/johokanri.46.536","10.18919/jkg.53.4_211","https://www.jstage.jst.go.jp/article/jkg/53/4/53_KJ00000980069/_article/-char/ja/",2
"10.1241/johokanri.46.536","10.1241/johokanri.45.502","http://www.jstage.jst.go.jp/article/johokanri/45/7/45_7_502/_article/-char/ja/",2
"10.1241/johokanri.46.536","10.1241/johokanri.46.373","http://www.jstage.jst.go.jp/article/johokanri/46/6/46_6_373/_article/-char/ja/",2
"10.1241/johokanri.48.149",NA,NA,2
"10.1241/johokanri.48.149","10.11291/jpla1956.44.137","http://www.jstage.jst.go.jp/article/jpla1956/44/2/44_2_137/_article/-char/ja/",2
"10.1241/johokanri.48.149","10.1241/johokanri.43.615","http://www.jstage.jst.go.jp/article/johokanri/43/7/43_7_615/_article/-char/ja/",2
"10.1241/johokanri.48.149","10.1241/johokanri.42.32","http://www.jstage.jst.go.jp/article/johokanri/42/1/42_1_32/_article/-char/ja/",2
"10.1241/johokanri.48.149","10.1241/johokanri.42.682","http://www.jstage.jst.go.jp/article/johokanri/42/8/42_8_682/_article/-char/ja/",2
"10.1241/johokanri.48.149","10.1241/johokanri.46.536","http://www.jstage.jst.go.jp/article/johokanri/46/8/46_8_536/_article/-char/ja/",2
"10.1241/johokanri.48.149","10.11514/inforum.if39.0.000025.0",NA,2
"10.1241/johokanri.48.149","10.18919/jkg.53.4_211","https://www.jstage.jst.go.jp/article/jkg/53/4/53_KJ00000980069/_article/-char/ja/",2
"10.1241/johokanri.48.149","10.1300/J383v01n02_04",NA,2
"10.1241/johokanri.48.149","10.1241/johokanri.46.373","http://www.jstage.jst.go.jp/article/johokanri/46/6/46_6_373/_article/-char/ja/",2
"10.1241/johokanri.48.149","10.1241/johokanri.45.613","http://www.jstage.jst.go.jp/article/johokanri/45/9/45_9_613/_article/-char/ja/",2
"10.1241/johokanri.49.69","10.18919/jkg.53.4_211","https://www.jstage.jst.go.jp/article/jkg/53/4/53_KJ00000980069/_article/-char/ja/",2
"10.1241/johokanri.49.69","10.1241/johokanri.42.682","http://www.jstage.jst.go.jp/article/johokanri/42/8/42_8_682/_article/-char/ja/",2
"10.1241/johokanri.49.69","10.1241/johokanri.46.536","http://www.jstage.jst.go.jp/article/johokanri/46/8/46_8_536/_article/-char/ja/",2
"10.1241/johokanri.49.69","10.1241/johokanri.42.32","http://www.jstage.jst.go.jp/article/johokanri/42/1/42_1_32/_article/-char/ja/",2
"10.18919/jkg.56.4_188","10.11514/inforum.if40.0.A51.0","https://www.jstage.jst.go.jp/article/inforum/if40/0/if40_0_A51/_article/-char/ja/",2
"10.18919/jkg.56.4_188","10.18919/jkg.55.3_145","https://www.jstage.jst.go.jp/article/jkg/55/3/55_KJ00003356413/_article/-char/ja/",2
